Title,UID,UIN,PIN,OO,CanO,HisO,Ch,TxCk,TxRv,¶,add,x,f,cd,h8,Int
Front Matter,FRT,A0,0,0,B100,B200,10,1,1,1,,,,,,1
Law Intro,INT,,,,B101,B201,,,,,,,,,,0
Genesis,GEN,1,1,1,B102,B202,50,1,1,0.5,,0.1,0.1,0.1,0.1,0.5
Exodus,EXO,2,2,2,B103,B203,40,1,,0.5,,0.1,0.1,0.1,0.1,0.5
Leviticus,LEV,3,3,3,B104,B204,27,1,,0.5,,0.1,0.1,0.1,0.1,0.5
Numbers,NUM,4,4,4,B105,B205,36,1,,0.5,,0.1,0.1,0.1,0.1,0.5
Deuteronomy,DEU,5,5,5,B106,B206,34,1,,0.5,,0.1,0.1,0.1,0.1,0.5
History A Intro,INT,,,,B108,B207,,,,,,,,,,0
Joshua,JOS,6,6,6,B110,B208,24,0,,0.5,,0.1,0.1,0.1,0.1,0.5
Judges,JDG,7,7,7,B111,B209,21,0,,0.5,,0.1,0.1,0.1,0.1,0.5
1 Samuel,1SA,9,9,9,B113,B210,31,0,,0.5,,0.1,0.1,0.1,0.1,0.5
2 Samuel,2SA,10,10,10,B114,B211,24,0,,0.5,,0.1,0.1,0.1,0.1,0.5
1 Kings,1KI,11,11,11,B115,B212,22,0,,0.5,,0.1,0.1,0.1,0.1,0.5
2 Kings,2KI,12,12,12,B116,B213,25,0,,0.5,,0.1,0.1,0.1,0.1,0.5
Law Back Matter,,,,,B107,B214,,,,,,,,,,
History A Back,,,,,B122,B215,,,,,,,,,,
Prophets Intro,INT,,,,B131,B216,,,,,,,,,,0
Isaiah,ISA,23,23,23,B132,B217,66,0,,0.5,,0.1,0.1,0.1,0.1,0.5
Jeremiah,JER,24,24,24,B133,B218,52,0,,0.5,,0.1,0.1,0.1,0.1,0.5
Ezekiel,EZK,26,26,26,B135,B219,48,0,,0.5,,0.1,0.1,0.1,0.1,0.1
Hosea,HOS,28,28,28,B137,B220,14,0,,0.5,,0.1,0.1,0.1,0.1,0.1
Joel,JOL,29,29,29,B138,B221,3,1,,0.5,,0.1,0.1,0.1,0.1,0.1
Amos,AMO,30,30,30,B139,B222,9,0,,0.5,,0.1,0.1,0.1,0.1,0.1
Obadiah,OBA,31,31,31,B140,B223,1,1,,0.5,,0.1,0.1,0.1,0.1,0.1
Jonah,JON,32,32,32,B141,B224,4,1,,0.5,,0.1,0.1,0.1,0.1,0.1
Micah,MIC,33,33,33,B142,B225,7,1,,0.5,,0.1,0.1,0.1,0.1,0.1
Nahum,NAM,34,34,34,B143,B226,3,1,,0.5,,0.1,0.1,0.1,0.1,0.1
Habakkuk,HAB,35,35,35,B144,B227,3,1,,0.5,,0.1,0.1,0.1,0.1,0.1
Zephaniah,ZEP,36,36,36,B145,B228,3,1,,0.5,,0.1,0.1,0.1,0.1,0.1
Haggai,HAG,37,37,37,B146,B229,2,1,,0.5,,0.1,0.1,0.1,0.1,0.1
Zechariah,ZEC,38,38,38,B147,B230,14,0,,0.5,,0.1,0.1,0.1,0.1,0.1
Malachi,MAL,39,39,39,B148,B231,4,1,,0.5,,0.1,0.1,0.1,0.1,0.1
Prophets Back,,,,,B149,B232,,,,,,,,,,
Writings Intro,INT,,,,B124,B233,,,,,,,,,,0
Psalms,PSA,19,19,19,B126,B234,150,1,,0.5,,0.1,0.1,0.1,0.1,0.5
Proverbs,PRO,20,20,20,B127,B235,31,1,,0.5,,0.1,0.1,0.1,0.1,0.5
Job,JOB,18,18,18,B125,B236,42,1,,0.5,,0.1,0.1,0.1,0.1,0.5
Song of Songs,SNG,22,22,22,B129,B237,8,1,,0.5,,0.1,0.1,0.1,0.1,0.5
Ruth,RUT,8,8,8,B112,B238,4,1,,0.5,,0.1,0.1,0.1,0.1,0.5
Lamentations,LAM,25,25,25,B134,B239,5,1,,0.5,,0.1,0.1,0.1,0.1,0.1
Ecclesiastes,ECC,21,21,21,B128,B240,12,1,,0.5,,0.1,0.1,0.1,0.1,0.5
History B Intro,INT,,,,B109,B241,,,,,,,,,,
Esther (Hebrew),EST,17,17,17,B121,B242,10,1,,0.5,,0.1,0.1,0.1,0.1,0.5
Daniel (Hebrew),DAN,27,27,27,B136,B243,12,1,,0.5,,0.1,0.1,0.1,0.1,0.1
Ezra,EZR,15,15,15,B119,B244,10,1,,0.5,,0.1,0.1,0.1,0.1,0.5
Nehemiah,NEH,16,16,16,B120,B245,13,1,,0.5,,0.1,0.1,0.1,0.1,0.5
1 Chronicles,1CH,13,13,13,B117,B246,29,1,,0.5,,0.1,0.1,0.1,0.1,0.5
2 Chronicles,2CH,14,14,14,B118,B247,36,1,0.5,0.5,,0.1,0.1,0.1,0.1,0.5
Writings Back,,,,,B130,B248,,,,,,,,,,
History B Back,,,,,B123,B249,,,,,,,,,,
NT Intro,INT,A7,40,,B150,B250,,,,,,,,,,0
John,JHN,44,44,43,B154,B251,21,1,,0.5,,0.1,0.1,0.1,0.1,0.1
1 John,1JN,63,63,62,B173,B252,5,1,,1,,0.1,0.1,0.1,0.1,0.1
Matthew,MAT,41,41,40,B151,B253,28,1,,0.5,,0.1,0.1,0.1,0.1,0.1
Mark,MRK,42,42,41,B152,B254,16,1,,0.5,,0.1,0.1,0.1,0.1,0.1
Luke,LUK,43,43,42,B153,B255,24,1,,0.5,,0.1,0.1,0.1,0.1,0.1
Acts,ACT,45,45,44,B155,B256,28,1,,0.5,,0.1,0.1,0.1,0.1,0.1
Romans,ROM,46,46,45,B156,B257,16,1,,0.5,,0.1,0.1,0.1,0.1,0.1
1 Corinthians,1CO,47,47,46,B157,B258,16,1,,0.5,,0.1,0.1,0.1,0.1,0.1
2 Corinthians,2CO,48,48,47,B158,B259,13,1,,0.5,,0.1,0.1,0.1,0.1,0.1
Galatians,GAL,49,49,48,B159,B260,6,1,,0.5,,0.1,0.1,0.1,0.1,0.1
Ephesians,EPH,50,50,49,B160,B261,6,1,,0.5,,0.1,0.1,0.1,0.1,0.1
Philippians,PHP,51,51,50,B161,B262,4,1,,0.5,,0.1,0.1,0.1,0.1,0.1
Colossians,COL,52,52,51,B162,B263,4,1,,0.5,,0.1,0.1,0.1,0.1,0.1
1 Thessalonians,1TH,53,53,52,B163,B264,5,1,,0.5,,0.1,0.1,0.1,0.1,0.1
2 Thessalonians,2TH,54,54,53,B164,B265,3,1,,0.5,,0.1,0.1,0.1,0.1,0.1
1 Timothy,1TI,55,55,54,B165,B266,6,1,,0.5,,0.1,0.1,0.1,0.1,0.1
2 Timothy,2TI,56,56,55,B166,B267,4,1,,0.5,,0.1,0.1,0.1,0.1,0.1
Titus,TIT,57,57,56,B167,B268,3,1,,0.5,,0.1,0.1,0.1,0.1,0.1
Philemon,PHM,58,58,57,B168,B269,1,1,,0.5,,0.1,0.1,0.1,0.1,0.1
Hebrews,HEB,59,59,58,B169,B270,13,1,,0.5,,0.1,0.1,0.1,0.1,0.1
James,JAS,60,60,59,B170,B271,5,1,,0.5,,0.1,0.1,0.1,0.1,0.1
1 Peter,1PE,61,61,60,B171,B272,5,1,,1,,0.1,0.1,0.1,0.1,0.1
