BCV	P
B001:C001:V001	¶
B001:C001:V001 	
B001:C001:V002	¶
B001:C001:V002 	
B001:C001:V003	¶
B001:C001:V003 	
B001:C001:V006	¶
B001:C001:V006 	
B001:C001:V009	¶
B001:C001:V009 	
B001:C001:V014	¶
B001:C001:V014 	
B001:C001:V020	¶
B001:C001:V020 	
B001:C001:V024	¶
B001:C001:V024 	
B001:C001:V026	¶
B001:C001:V026 	
B001:C001:V029	¶
B001:C001:V029 	
B001:C001:V030	¶
B001:C001:V030 	
B001:C002:V001	¶
B001:C002:V001 	
B001:C002:V004	¶
B001:C002:V004 	
B001:C002:V007	¶
B001:C002:V007 	
B001:C002:V018	¶
B001:C002:V018 	
B001:C003:V001	¶
B001:C003:V001 	
B001:C003:V008	¶
B001:C003:V008 	
B001:C003:V014	¶
B001:C003:V014 	
B001:C003:V022	¶
B001:C003:V022 	
B001:C004:V001	¶
B001:C004:V001 	
B001:C004:V009	¶
B001:C004:V009 	
B001:C004:V016	¶
B001:C004:V016 	
B001:C004:V025	¶
B001:C004:V025 	
B001:C005:V001	¶
B001:C005:V001 	
B001:C005:V009	¶
B001:C005:V009 	
B001:C005:V015	¶
B001:C005:V015 	
B001:C005:V018	¶
B001:C005:V018 	
B001:C005:V021	¶
B001:C005:V021 	
B001:C005:V025	¶
B001:C005:V025 	
B001:C005:V028	¶
B001:C005:V028 	
B001:C006:V001	¶
B001:C006:V001 	
B001:C006:V005	¶
B001:C006:V005 	
B001:C006:V009	¶
B001:C006:V009 	
B001:C006:V013	¶
B001:C006:V013 	
B001:C007:V001	¶
B001:C007:V001 	
B001:C007:V007	¶
B001:C007:V007 	
B001:C007:V010	¶
B001:C007:V010 	
B001:C008:V001	¶
B001:C008:V001 	
B001:C008:V006	¶
B001:C008:V006 	
B001:C008:V013	¶
B001:C008:V013 	
B001:C008:V015	¶
B001:C008:V015 	
B001:C008:V020	¶
B001:C008:V020 	
B001:C009:V001	¶
B001:C009:V001 	
B001:C009:V008	¶
B001:C009:V008 	
B001:C009:V018	¶
B001:C009:V018 	
B001:C009:V028	¶
B001:C009:V028 	
B001:C010:V001	¶
B001:C010:V001 	
B001:C010:V002	¶
B001:C010:V002 	
B001:C010:V003	¶
B001:C010:V003 	
B001:C010:V004	¶
B001:C010:V004 	
B001:C010:V006	¶
B001:C010:V006 	
B001:C010:V007	¶
B001:C010:V007 	
B001:C010:V015	¶
B001:C010:V015 	
B001:C010:V021	¶
B001:C010:V021 	
B001:C011:V001	¶
B001:C011:V001 	
B001:C011:V010	¶
B001:C011:V010 	
B001:C011:V027	¶
B001:C011:V027 	
B001:C011:V031	¶
B001:C011:V031 	
B001:C012:V001	¶
B001:C012:V001 	
B001:C012:V006	¶
B001:C012:V006 	
B001:C012:V010	¶
B001:C012:V010 	
B001:C012:V014	¶
B001:C012:V014 	
B001:C013:V001	¶
B001:C013:V001 	
B001:C013:V005	¶
B001:C013:V005 	
B001:C013:V014	¶
B001:C013:V014 	
B001:C014:V001	¶
B001:C014:V001 	
B001:C014:V013	¶
B001:C014:V013 	
B001:C014:V017	¶
B001:C014:V017 	
B001:C015:V001	¶
B001:C015:V001 	
B001:C015:V012	¶
B001:C015:V012 	
B001:C015:V017	¶
B001:C015:V017 	
B001:C016:V001	¶
B001:C016:V001 	
B001:C016:V004	¶
B001:C016:V004 	
B001:C016:V007	¶
B001:C016:V007 	
B001:C016:V015	¶
B001:C016:V015 	
B001:C017:V001	¶
B001:C017:V001 	
B001:C017:V009	¶
B001:C017:V009 	
B001:C017:V015	¶
B001:C017:V015 	
B001:C017:V023	¶
B001:C017:V023 	
B001:C018:V001	¶
B001:C018:V001 	
B001:C018:V009	¶
B001:C018:V009 	
B001:C018:V016	¶
B001:C018:V016 	
B001:C018:V023	¶
B001:C018:V023 	
B001:C019:V001	¶
B001:C019:V001 	
B001:C019:V004	¶
B001:C019:V004 	
B001:C019:V012	¶
B001:C019:V012 	
B001:C019:V015	¶
B001:C019:V015 	
B001:C019:V017	¶
B001:C019:V017 	
B001:C019:V024	¶
B001:C019:V024 	
B001:C019:V030	¶
B001:C019:V030 	
B001:C020:V001	¶
B001:C020:V001 	
B001:C021:V001	¶
B001:C021:V001 	
B001:C021:V009	¶
B001:C021:V009 	
B001:C021:V012	¶
B001:C021:V012 	
B001:C021:V022	¶
B001:C021:V022 	
B001:C021:V033	¶
B001:C021:V033 	
B001:C022:V001	¶
B001:C022:V001 	
B001:C022:V003	¶
B001:C022:V003 	
B001:C022:V015	¶
B001:C022:V015 	
B001:C022:V020	¶
B001:C022:V020 	
B001:C023:V001	¶
B001:C023:V001 	
B001:C023:V003	¶
B001:C023:V003 	
B001:C024:V001	¶
B001:C024:V001 	
B001:C024:V007	¶
B001:C024:V007 	
B001:C024:V010	¶
B001:C024:V010 	
B001:C024:V015	¶
B001:C024:V015 	
B001:C024:V021	¶
B001:C024:V021 	
B001:C024:V029	¶
B001:C024:V029 	
B001:C024:V033	¶
B001:C024:V033 	
B001:C024:V049	¶
B001:C024:V049 	
B001:C024:V057	¶
B001:C024:V057 	
B001:C024:V061	¶
B001:C024:V061 	
B001:C025:V001	¶
B001:C025:V001 	
B001:C025:V005	¶
B001:C025:V005 	
B001:C025:V007	¶
B001:C025:V007 	
B001:C025:V012	¶
B001:C025:V012 	
B001:C025:V019	¶
B001:C025:V019 	
B001:C025:V024	¶
B001:C025:V024 	
B001:C025:V029	¶
B001:C025:V029 	
B001:C026:V001	¶
B001:C026:V001 	
B001:C026:V006	¶
B001:C026:V006 	
B001:C026:V012	¶
B001:C026:V012 	
B001:C026:V017	¶
B001:C026:V017 	
B001:C026:V023	¶
B001:C026:V023 	
B001:C026:V026	¶
B001:C026:V026 	
B001:C026:V034	¶
B001:C026:V034 	
B001:C027:V001	¶
B001:C027:V001 	
B001:C027:V006	¶
B001:C027:V006 	
B001:C027:V018	¶
B001:C027:V018 	
B001:C027:V026	¶
B001:C027:V026 	
B001:C027:V030	¶
B001:C027:V030 	
B001:C027:V034	¶
B001:C027:V034 	
B001:C027:V041	¶
B001:C027:V041 	
B001:C027:V046	¶
B001:C027:V046 	
B001:C028:V001	¶
B001:C028:V001 	
B001:C028:V006	¶
B001:C028:V006 	
B001:C028:V010	¶
B001:C028:V010 	
B001:C028:V011	¶
B001:C028:V011 	
B001:C028:V016	¶
B001:C028:V016 	
B001:C029:V001	¶
B001:C029:V001 	
B001:C029:V002	¶
B001:C029:V002 	
B001:C029:V005	¶
B001:C029:V005 	
B001:C029:V009	¶
B001:C029:V009 	
B001:C029:V015	¶
B001:C029:V015 	
B001:C029:V021	¶
B001:C029:V021 	
B001:C029:V025	¶
B001:C029:V025 	
B001:C029:V031	¶
B001:C029:V031 	
B001:C030:V001	¶
B001:C030:V001 	
B001:C030:V014	¶
B001:C030:V014 	
B001:C030:V025	¶
B001:C030:V025 	
B001:C031:V001	¶
B001:C031:V001 	
B001:C031:V003	¶
B001:C031:V003 	
B001:C031:V017	¶
B001:C031:V017 	
B001:C031:V025	¶
B001:C031:V025 	
B001:C031:V043	¶
B001:C031:V043 	
B001:C032:V001	¶
B001:C032:V001 	
B001:C032:V009	¶
B001:C032:V009 	
B001:C032:V013	¶
B001:C032:V013 	
B001:C032:V024	¶
B001:C032:V024 	
B001:C033:V001	¶
B001:C033:V001 	
B001:C033:V016	¶
B001:C033:V016 	
B001:C034:V001	¶
B001:C034:V001 	
B001:C034:V006	¶
B001:C034:V006 	
B001:C034:V020	¶
B001:C034:V020 	
B001:C034:V025	¶
B001:C034:V025 	
B001:C035:V001	¶
B001:C035:V001 	
B001:C035:V006	¶
B001:C035:V006 	
B001:C035:V016	¶
B001:C035:V016 	
B001:C035:V021	¶
B001:C035:V021 	
B001:C035:V028	¶
B001:C035:V028 	
B001:C036:V001	¶
B001:C036:V001 	
B001:C036:V009	¶
B001:C036:V009 	
B001:C036:V020	¶
B001:C036:V020 	
B001:C036:V031	¶
B001:C036:V031 	
B001:C037:V001	¶
B001:C037:V001 	
B001:C037:V005	¶
B001:C037:V005 	
B001:C037:V009	¶
B001:C037:V009 	
B001:C037:V012	¶
B001:C037:V012 	
B001:C037:V023	¶
B001:C037:V023 	
B001:C037:V029	¶
B001:C037:V029 	
B001:C038:V001	¶
B001:C038:V001 	
B001:C038:V006	¶
B001:C038:V006 	
B001:C038:V012	¶
B001:C038:V012 	
B001:C039:V001	¶
B001:C039:V001 	
B001:C039:V007	¶
